disaster.event,user.anon,latitude,longitude.anon,time
22_Hamburg,1,9.94088163,63.5024142152,2013-12-01 09:16:00
22_Hamburg,1,9.95288123,63.5050811652,2013-11-24 19:25:49
22_Hamburg,2,10.07615445,63.6439382652,2013-11-20 09:55:53
22_Hamburg,2,10.00663519,63.6745713052,2013-11-29 09:35:31
22_Hamburg,2,9.98852857,63.6076798252,2013-11-21 08:55:51
22_Hamburg,3,9.7612405,63.6769355552,2013-12-15 14:55:27
22_Hamburg,4,9.96716955,63.6057468452,2013-11-20 08:23:07
22_Hamburg,4,9.99696851,63.5874127952,2013-11-20 09:26:19
22_Hamburg,4,9.99696851,63.5874127952,2013-11-20 18:44:41
22_Hamburg,4,10.00184775,63.6353413352,2013-11-20 19:52:40
22_Hamburg,4,9.9661392,63.6000190952,2013-11-29 13:33:16
22_Hamburg,4,10.0116992,63.6254927152,2013-12-03 10:05:31
22_Hamburg,4,10.00185459,63.6353278852,2013-12-06 11:45:07
22_Hamburg,4,9.99696851,63.5874127952,2013-11-21 09:38:54
22_Hamburg,4,9.99740037,63.5873958352,2013-12-09 09:32:49
22_Hamburg,4,9.99696851,63.5874127952,2013-12-10 09:13:09
22_Hamburg,4,9.99734016,63.5874441852,2013-12-10 09:57:08
22_Hamburg,4,9.96535181,63.6055996952,2013-12-10 11:32:47
22_Hamburg,4,9.990897,63.5948832852,2013-12-10 13:52:31
22_Hamburg,4,9.99098542,63.5949574452,2013-12-10 14:44:01
22_Hamburg,4,9.99104744,63.5949310952,2013-12-10 14:45:14
22_Hamburg,4,9.99101847,63.5949358052,2013-12-10 14:46:08
22_Hamburg,4,10.00184577,63.6353278752,2013-12-10 21:53:19
22_Hamburg,4,9.96737807,63.6058553452,2013-12-11 19:26:26
22_Hamburg,4,9.99736159,63.5874448052,2013-12-12 10:19:58
22_Hamburg,4,9.99696851,63.5874127952,2013-12-12 11:00:10
22_Hamburg,4,9.99743205,63.5873664652,2013-12-12 16:41:06
22_Hamburg,4,9.99741124,63.5873878452,2013-12-12 16:41:43
22_Hamburg,4,10.004093,63.6331331552,2013-12-12 20:50:58
22_Hamburg,4,9.99738412,63.5874113352,2013-12-13 10:02:47
22_Hamburg,4,9.99736447,63.5874192952,2013-12-13 11:10:54
22_Hamburg,4,9.99733465,63.5874344452,2013-12-13 11:16:49
22_Hamburg,4,9.99701544,63.5887271352,2013-12-13 15:48:05
22_Hamburg,4,9.95887041,63.6081265052,2013-12-13 17:14:20
22_Hamburg,4,9.99696851,63.5874127952,2013-12-16 09:28:45
22_Hamburg,4,9.96716955,63.6057468452,2013-12-17 08:45:55
22_Hamburg,4,9.96716955,63.6057468452,2013-12-18 08:34:30
22_Hamburg,4,9.99739578,63.5874016252,2013-12-18 10:28:26
22_Hamburg,4,9.99696851,63.5874127952,2013-12-18 11:09:11
22_Hamburg,4,9.96716955,63.6057468452,2013-11-22 09:39:11
22_Hamburg,4,9.99696851,63.5874127952,2013-11-22 09:40:26
22_Hamburg,4,9.99696851,63.5874127952,2013-12-19 09:40:10
22_Hamburg,4,9.99732199,63.5874587452,2013-12-19 10:35:52
22_Hamburg,4,9.99649736,63.5860735652,2013-12-19 14:49:48
22_Hamburg,4,9.9728392,63.5881847952,2013-11-24 15:39:50
22_Hamburg,4,9.976958,63.5890851552,2013-11-24 16:18:39
22_Hamburg,4,9.9728392,63.5881847952,2013-11-24 18:32:02
22_Hamburg,4,10.0116992,63.6254927152,2013-11-25 08:56:06
22_Hamburg,5,10.00452652,63.6001512752,2013-12-20 09:44:39
22_Hamburg,5,10.00503076,63.5993328352,2013-12-20 17:41:10
22_Hamburg,5,10.00495631,63.5991996252,2013-12-20 18:22:30
22_Hamburg,6,9.989405,63.6003731552,2013-11-29 12:41:38
22_Hamburg,6,9.90733,63.6094171552,2013-11-29 14:18:04
22_Hamburg,6,10.00633,63.6746271552,2013-12-01 19:54:46
22_Hamburg,6,9.91922,63.6041771552,2013-11-21 19:10:02
22_Hamburg,6,9.9082454,63.6094370552,2013-11-22 08:35:44
